code,date,e,n,wqi,ph,aldrin,bhc,dieldrin,ddts,heptachlor,as,cd,pb,cr6,cu,zn,hg,do,bod5,cod,toc,n_nh4,n_no3,n_no2,p_po4,coliform,ecoli
BD03,10/1/2023,106.468056,10.505556,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973,66.33973
BD03,11/1/2023,106.468056,10.505556,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301,38.66105301
BD03,12/1/2023,106.468056,10.505556,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524,55.04207524
BD03,1/1/2024,106.468056,10.505556,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294,53.45586294
BD03,2/1/2024,106.468056,10.505556,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179,53.60169179
BD03,3/1/2024,106.468056,10.505556,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718,54.48872718
BD03,4/1/2024,106.468056,10.505556,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018,35.68857018
BD03,5/1/2024,106.468056,10.505556,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973,36.86732973
BD03,6/1/2024,106.468056,10.505556,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737,56.79764737
BD03,7/1/2024,106.468056,10.505556,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254,65.32521254
BD03,8/1/2024,106.468056,10.505556,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749,38.31293749
