code,date,e,n,wqi,ph,aldrin,bhc,dieldrin,ddts,heptachlor,as,cd,pb,cr6,cu,zn,hg,do,bod5,cod,toc,n_nh4,n_no3,n_no2,p_po4,coliform,ecoli
BD03,10/1/2023,106.468056,10.505556,66.33973,6.9,0.035481305,0.024140283,0.020611875,0.023675,0.040206378,0.022682044,0.008436817,0.00334375,0.0322,0.0043,0,0.00138,7.560681188,10.9368165,26.14263567,19.46480352,0.840625,0.334375,0.805,0.495,4300,0
BD03,11/1/2023,106.468056,10.505556,38.66105301,7.07,0.02055125,0.00998,0.007707,0.00682125,0.036869583,0.0211425,0.00596,0.0045,0.0064,0.0031,0,0.001414,7.0475,8.46,19.8771932,16.71979767,0.52,0.45,0.16,0.24,3100,0
BD03,12/1/2023,106.468056,10.505556,55.04207524,6.64,0.021857309,0.011783587,0.0090265,0.0096425,0.034550387,0.020147445,0.006842173,0.002625,0.006,0.0081,0,0.001328,6.715814875,9.342173,24.3506578,17.63256777,0.58625,0.2625,0.15,0.96,8100,0
BD03,1/1/2024,106.468056,10.505556,53.45586294,7.365,0.021945661,0.011114605,0.0086235,0.008779375,0.036536875,0.021662111,0.00645521,0.0032,0.006524,0.00605,0,0.001473,7.22070375,8.95521,24.90278687,18.56396447,0.6775,0.32,0.1631,0.231875,6050,0
BD03,2/1/2024,106.468056,10.505556,53.60169179,6.61,0.049795,0.040105,0.037661,0.04332625,0.036855,0.01938,0.00621,0.006,0.0652,0.0028,0,0.001322,6.46,8.71,25.26989289,17.53864215,0.7875,0.6,1.63,0.52,2800,0
BD03,3/1/2024,106.468056,10.505556,54.48872718,6.59,0.053128125,0.04155,0.037409,0.04238625,0.046382292,0.02315625,0.0096,0.007,0.0648,0.0017,0,0.001318,7.71875,12.1,32.68322115,21.76388198,3.23,0.7,1.62,0.6,1700,0
BD03,4/1/2024,106.468056,10.505556,35.68857018,7.65,0.023456415,0.013142725,0.011115,0.00920625,0.039331634,0.02062738,0.005585449,0.0075,0.0048,0.0084,0,0.00153,6.875793375,8.085449,24.14042974,17.80625934,0.9,0.75,0.12,0.325,8400,0
BD03,5/1/2024,106.468056,10.505556,36.86732973,6.93,0.02363,0.014045,0.011993,0.0126475,0.033145,0.01917,0.00549,0.00375,0.01165,0.0072,0,0.001386,6.39,7.99,20.82617778,16.03272314,0.12125,0.375,0.29125,0.1,7200,0
BD03,6/1/2024,106.468056,10.505556,56.79764737,7.27,0.03503849,0.02323429,0.019527,0.02165875,0.043023144,0.023608401,0.008868579,0.0044,0.0248,0.0084,0,0.001454,7.869467125,11.368579,29.22632811,20.90014272,1.63875,0.44,0.62,0.375,8400,0
BD03,7/1/2024,106.468056,10.505556,65.32521254,6.76,0.0298275,0.0196875,0.0203635,0.023095,0.028064167,0.02028,0,0.003775,0.0292,0.0064,0,0.001352,6.76,5,14.5062531,14.59531308,4.265,0.3775,0.73,0.1725,6400,0
BD03,8/1/2024,106.468056,10.505556,38.31293749,7.023333333,0.039275632,0.027223091,0.023064833,0.02558625,0.045520918,0.024105081,0.009721183,0.005191667,0.0316,0.007933333,0,0.001404667,8.035026833,12.22118267,31.00581609,21.70948101,0.974583333,0.519166667,0.79,0.239166667,7933.333333,0
BD03,9/1/2024,106.468056,10.505556,55.25504608,7.46,0.019044375,0.008715,0.006496,0.007495,0.032186875,0.02065875,0.00593,0.001,0.0104,0.0001,0,0.001492,6.88625,8.43,24.00494764,17.77923239,0.4,0.1,0.26,9.57,100,0
BD03,10/1/2024,106.468056,10.505556,53.95670971,7.23,0.026921875,0.01705,0.015023,0.01690375,0.032951042,0.01974375,0.0055,0.003,0.0164,0.0092,0,0.001446,6.58125,8,20.61034558,16.2515552,0.32,0.3,0.41,15.96,9200,0
BD03,11/1/2024,106.468056,10.505556,37.22293044,7.185,0.021125,0.0120125,0.0106185,0.010054375,0.0322,0.018225,0.004225,0.00515,0.0106,0.00405,0,0.001437,6.075,6.725,14.67477989,13.62094259,0.58,0.515,0.265,15.34,4050,0
BD03,12/1/2024,106.468056,10.505556,34.67638947,7.065,0.032665313,0.023955,0.0228065,0.024820625,0.031535729,0.017420625,0.00371,0.0059,0.0362,0.0021,0,0.001413,5.806875,6.21,16.87923278,13.91372763,1.045,0.59,0.905,25.11,2100,0
BD03,1/1/2025,106.468056,10.505556,53.9271968,7.24,0.033763125,0.022965,0.020124,0.022655,0.038180625,0.02159625,0.00713,0.004,0.0276,0.0072,0,0.001448,7.19875,9.63,20.5392453,17.15539023,0.59,0.4,0.69,26.45,7200,0
BD03,2/1/2025,106.468056,10.505556,53.63156522,6.885,0.035603504,0.02499687,0.02199475,0.026266875,0.035649844,0.021213269,0.00738124,0.0019625,0.0366,0.00405,0,0.001377,7.071089813,9.8812395,25.52660505,18.53620756,1.315,0.19625,0.915,0.315,4050,0
BD03,3/1/2025,106.468056,10.505556,53.83321324,6.93,0.025888125,0.01524,0.012243,0.01286625,0.038005625,0.02129625,0.00738,0.0039,0.018,0.0012,0,0.001386,7.09875,9.88,23.09639583,17.8115537,1.21,0.39,0.45,0.38,1200,0
