code,datetime,e,n,value
H26.KTTVCD.MN067,2026-02-01 00:00:00,105.7705968,21.0896539,111.3333333
H26.KTTVCD.MN067,2026-02-01 01:00:00,105.7705968,21.0896539,119.1666667
H26.KTTVCD.MN067,2026-02-01 02:00:00,105.7705968,21.0896539,124
H26.KTTVCD.MN067,2026-02-01 03:00:00,105.7705968,21.0896539,131.8333333
H26.KTTVCD.MN067,2026-02-01 04:00:00,105.7705968,21.0896539,139.1666667
H26.KTTVCD.MN067,2026-02-01 05:00:00,105.7705968,21.0896539,147.1666667
H26.KTTVCD.MN067,2026-02-01 06:00:00,105.7705968,21.0896539,155.3333333
H26.KTTVCD.MN067,2026-02-01 07:00:00,105.7705968,21.0896539,162.5
H26.KTTVCD.MN067,2026-02-01 08:00:00,105.7705968,21.0896539,168.5
H26.KTTVCD.MN067,2026-02-01 09:00:00,105.7705968,21.0896539,175.6666667
H26.KTTVCD.MN067,2026-02-01 10:00:00,105.7705968,21.0896539,184.5
H26.KTTVCD.MN067,2026-02-01 11:00:00,105.7705968,21.0896539,188.5
H26.KTTVCD.MN067,2026-02-01 12:00:00,105.7705968,21.0896539,184.3333333
H26.KTTVCD.MN067,2026-02-01 13:00:00,105.7705968,21.0896539,173.6666667
H26.KTTVCD.MN067,2026-02-01 14:00:00,105.7705968,21.0896539,160.1666667
H26.KTTVCD.MN067,2026-02-01 15:00:00,105.7705968,21.0896539,144.5
H26.KTTVCD.MN067,2026-02-01 16:00:00,105.7705968,21.0896539,130.5
H26.KTTVCD.MN067,2026-02-01 17:00:00,105.7705968,21.0896539,115.3333333
H26.KTTVCD.MN067,2026-02-01 18:00:00,105.7705968,21.0896539,97
H26.KTTVCD.MN067,2026-02-01 19:00:00,105.7705968,21.0896539,81
H26.KTTVCD.MN067,2026-02-01 20:00:00,105.7705968,21.0896539,78
H26.KTTVCD.MN067,2026-02-01 21:00:00,105.7705968,21.0896539,78.33333333
H26.KTTVCD.MN067,2026-02-01 22:00:00,105.7705968,21.0896539,81.83333333
H26.KTTVCD.MN067,2026-02-01 23:00:00,105.7705968,21.0896539,89.5
H26.KTTVCD.MN067,2026-02-02 00:00:00,105.7705968,21.0896539,98.16666667
H26.KTTVCD.MN067,2026-02-02 01:00:00,105.7705968,21.0896539,107
H26.KTTVCD.MN067,2026-02-02 02:00:00,105.7705968,21.0896539,116
H26.KTTVCD.MN067,2026-02-02 03:00:00,105.7705968,21.0896539,124.5
H26.KTTVCD.MN067,2026-02-02 04:00:00,105.7705968,21.0896539,132.6666667
H26.KTTVCD.MN067,2026-02-02 05:00:00,105.7705968,21.0896539,141.8333333
H26.KTTVCD.MN067,2026-02-02 06:00:00,105.7705968,21.0896539,149.5
H26.KTTVCD.MN067,2026-02-02 07:00:00,105.7705968,21.0896539,157.8333333
H26.KTTVCD.MN067,2026-02-02 08:00:00,105.7705968,21.0896539,164.3333333
H26.KTTVCD.MN067,2026-02-02 09:00:00,105.7705968,21.0896539,172
H26.KTTVCD.MN067,2026-02-02 10:00:00,105.7705968,21.0896539,180.5
H26.KTTVCD.MN067,2026-02-02 11:00:00,105.7705968,21.0896539,188.1666667
H26.KTTVCD.MN067,2026-02-02 12:00:00,105.7705968,21.0896539,189.5
H26.KTTVCD.MN067,2026-02-02 13:00:00,105.7705968,21.0896539,180.5
H26.KTTVCD.MN067,2026-02-02 14:00:00,105.7705968,21.0896539,168.6666667
H26.KTTVCD.MN067,2026-02-02 15:00:00,105.7705968,21.0896539,154
H26.KTTVCD.MN067,2026-02-02 16:00:00,105.7705968,21.0896539,137.5
H26.KTTVCD.MN067,2026-02-02 17:00:00,105.7705968,21.0896539,122.1666667
H26.KTTVCD.MN067,2026-02-02 18:00:00,105.7705968,21.0896539,105.3333333
H26.KTTVCD.MN067,2026-02-02 19:00:00,105.7705968,21.0896539,87
H26.KTTVCD.MN067,2026-02-02 20:00:00,105.7705968,21.0896539,78
H26.KTTVCD.MN067,2026-02-02 21:00:00,105.7705968,21.0896539,78
H26.KTTVCD.MN067,2026-02-02 22:00:00,105.7705968,21.0896539,78
