code,date,e,n,wqi
BD03,7/1/2025,106.468056,10.505556,37.51
BD04,7/1/2025,106.411111,10.533056,36.33
BD05,7/1/2025,106.362778,10.555,54.16
BD06,7/1/2025,106.489167,10.378889,55.28
BD09,7/1/2025,106.341111,10.389167,66.84
BD1,7/1/2025,106.5825,10.428611,37.64
BD10,7/1/2025,106.303889,10.426111,67.47
BD11,7/1/2025,106.286111,10.518889,66.78
BD12,7/1/2025,106.195278,10.475556,36.79
BD13,7/1/2025,106.285833,10.3375,66.98
BD14,7/1/2025,106.263056,10.458056,37.33
BD15,7/1/2025,106.348056,10.543056,38.56
BD16,7/1/2025,106.520278,10.407778,57.1
BD17,7/1/2025,106.504167,10.491667,66.69
BD18,7/1/2025,106.4375,10.422778,37.06
BD2,7/1/2025,106.545278,10.473333,4.07
BD7,7/1/2025,106.395278,10.485556,36.96
BD8,7/1/2025,106.370278,10.364722,57.81
C1-1,7/1/2025,106.323333,11.323333,52.79
C2-1,7/1/2025,106.25,11.373333,64.94
C3-1,7/1/2025,106.2,11.44,51.82
CLCB1,7/1/2025,105.15576,9.75633,57.26
CLCB10,7/1/2025,105.38675,10.05539,57.08
CLCB13,7/1/2025,105.1661,9.5305,57.34
CLCB14,7/1/2025,105.2411,9.7294,36.68
CLCB15,7/1/2025,105.5436,9.6687,38.99
CLCB2,7/1/2025,105.21267,9.84895,57.21
CLCB3,7/1/2025,105.05421,9.79762,54.09
CLCB4,7/1/2025,105.13009,9.66705,56.71
CLCB5,7/1/2025,105.29636,9.474,54.51
CLCB6,7/1/2025,105.37559,9.5934,57.75
CLCB7,7/1/2025,105.37671,9.77976,56.85
CLCB8,7/1/2025,105.42469,9.94938,54.8
CLCB9,7/1/2025,105.35439,9.87573,56.4
DATI1,7/1/2025,106.232697,11.465033,45.66
DATI10,7/1/2025,106.072264,11.477061,52.35
DATI11,7/1/2025,106.356833,10.991417,66.76
DATI12,7/1/2025,106.116972,11.376806,66.4
DATI13,7/1/2025,106.022778,11.404719,54.61
DATI14,7/1/2025,106.344242,11.18115,45.44
DATI15,7/1/2025,106.324056,11.02775,49.41
DATI16,7/1/2025,106.207742,11.300415,34.95
DATI17,7/1/2025,106.503419,10.948525,64.57
DATI18,7/1/2025,106.363967,10.981836,64.95
DATI19,7/1/2025,106.255414,11.225739,62.66
DATI2,7/1/2025,106.362636,11.416258,67.2
DATI20,7/1/2025,106.092778,11.313028,54.45
DATI21,7/1/2025,106.091769,11.253581,47.11
DATI22,7/1/2025,106.31714,11.329494,42.51
DATI23,7/1/2025,106.615581,10.991867,32.14
DATI24,7/1/2025,106.262806,11.080472,56.57
DATI3,7/1/2025,106.299203,11.390678,44.96
DATI4,7/1/2025,106.33361,11.338717,37.56
DATI5,7/1/2025,106.424556,11.497803,57.14
DATI6,7/1/2025,106.363289,11.475936,55.09
DATI7,7/1/2025,106.339558,11.321814,44.28
DATI8,7/1/2025,106.253806,11.372667,65.61
DATI9,7/1/2025,106.221889,11.436608,50.99
DT1,7/1/2025,106.254444,11.431361,65.82
DT12,7/1/2025,106.116697,11.376806,63.43
DT14,7/1/2025,106.091778,11.253583,65.71
DT15,7/1/2025,106.643083,10.981639,49.53
DT16,7/1/2025,106.648694,10.92,33.81
DT18,7/1/2025,106.475056,10.638444,66.03
DT2,7/1/2025,106.413556,11.417944,38.02
DT3,7/1/2025,106.345806,11.321361,66.65
DT6,7/1/2025,106.078722,11.463556,65.17
DT7,7/1/2025,106.172917,11.3225,38.25
DT9,7/1/2025,106.328167,11.189583,54.1
M1-L,7/1/2025,106.617222,10.99,53.13
M2-L,7/1/2025,106.65,10.096667,53.89
